timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2260,56.19,44.12,19.91,0,-17.3,253.2,879.0,19.45,16.42,3.74,28.6
2280,36.06,51.21,27.2,0,11.8,69.5,923.5,22.74,8.11,4.54,28.92
2300,23.53,54.39,39.91,0,62.5,107.5,861.1,32.98,9.94,5.59,29.3
2320,8.44,48.83,57.98,0,61.4,76.9,837.3,39.87,-0.42,3.28,29.51
2340,1.06,49.43,66.1,3.52,190.4,34.8,806.2,41.51,6.43,2.79,29.8
2360,2.14,35.98,75.45,2.5,102.3,80.1,789.0,39.55,1.53,2.17,30.2
2380,0,24.15,86.06,9.87,65.6,-80.5,797.1,39.47,-3.62,2.93,30.32
2400,2.91,15.22,80.61,12.87,102.5,-142.8,814.1,34.28,1.73,-2.58,30.46
2420,0.32,4.72,75.75,27.51,101.4,-98.7,862.3,30.39,-15.77,-4.04,30.69
2440,0,0,58.78,37.96,52.3,-138.1,840.4,22.67,-11.82,-6.18,30.64
2460,0.01,2.14,55.25,54.56,57.5,-212.8,917.1,18.52,-22.89,-4.07,30.86
2480,0,0,32.8,61.3,22.1,-82.2,905.6,11.91,-28.19,-0.72,30.66
2500,2.24,0,20.93,72.31,-9.6,-163.5,1006.8,-2.94,-24.66,-2.46,30.91
2520,1.93,1.79,9.9,62.47,-106.7,-94.6,1008.3,-7.93,-12.72,4.03,30.97
2540,1.88,0.09,8.24,53.02,25.3,-162.7,993.6,-13.77,-11.83,6.44,30.9
2560,0,1.82,2.38,35.71,-22.1,-127.7,996.2,-23.85,-8.29,4.39,30.88
2580,0,2.18,0,28.86,-52.7,-81.9,975.1,-36.13,-13.77,2.69,30.77
2600,4.86,2.02,0,17.06,-62.9,-89.6,1006.3,-34.45,-19.54,4.77,30.81
2620,2.44,1.5,1.88,8.38,-139.7,18.6,1003.4,-39.09,-4.0,0.67,29.87
2640,3.08,0,0.66,8.52,-33.7,-52.7,1059.3,-39.25,-0.7,0.2,30.25
2660,0,0,0.52,0,-52.7,87.6,1005.3,-31.47,-0.84,-0.74,29.97
2680,0,0,3.33,0,16.9,158.3,947.3,-35.85,6.18,-2.93,29.45
2700,0,0.44,0,3.09,-14.3,60.3,1023.2,-29.03,11.97,-5.11,29.59
2720,0.27,1.48,0,4.32,-97.4,107.6,1003.7,-27.09,18.27,-7.96,28.94
2740,4.19,0,0,0,-11.6,120.0,997.9,-16.02,18.11,-3.78,28.48
2760,0,0,0,0,-70.6,171.6,998.0,-17.09,13.74,1.22,28.3
2780,75.85,25.75,6.75,0.89,93.6,159.6,1003.9,1.84,20.31,-0.67,27.98
2800,66.99,30.2,12.29,1.2,39.2,192.1,961.4,8.07,19.21,3.01,28.43
2820,53.6,46.65,22.56,0,-38.4,83.9,910.1,24.15,24.37,2.27,28.93
2840,34.48,54.37,34.02,0,98.7,122.8,911.0,25.94,18.96,4.26,29.1
2860,19.91,56.16,37.66,3.18,84.6,79.1,826.5,33.79,9.08,1.76,29.35
2880,10.64,55.46,54.8,1.69,103.3,27.3,807.9,34.61,2.65,3.1,29.38
2900,5.15,46.66,68.56,1.26,47.0,-8.5,824.5,36.83,5.9,3.1,29.94
2920,0,27.52,80.64,5.01,133.2,-10.4,782.5,47.29,0.9,-3.46,30.4
2940,0.22,20.43,86.61,5.35,95.2,-158.9,772.8,37.13,-3.58,-3.12,30.56
2960,3.96,5.57,84.22,17.95,210.7,-125.4,811.9,30.77,-3.65,-5.29,30.3
2980,0,11.1,83.72,34.76,55.8,-101.6,845.6,27.66,-12.01,-6.66,30.89
3000,1.49,4.61,56.52,39.26,47.6,-85.6,867.5,23.3,-13.7,-5.14,30.78
3020,0,2.61,44.26,48.9,72.0,-189.9,858.4,14.82,-17.87,-4.62,30.57
3040,5.14,0,33.67,58.37,53.1,-171.4,932.5,8.55,-25.75,-2.19,30.87
3060,0,0,16.91,65.94,111.8,-163.8,1051.5,-6.03,-14.38,-0.41,31.05
3080,3.33,0,13.81,57.34,-99.4,-160.2,1014.7,-10.73,-20.35,6.27,31.16
3100,0.11,1.14,4.63,47.82,-53.3,-142.2,1002.3,-22.23,-19.88,0.2,30.73
3120,2.0,0,0,39.75,-64.2,-112.7,1022.3,-26.96,-21.07,6.53,30.97
3140,3.85,0,0,25.38,-132.0,-109.3,937.3,-32.03,-10.26,4.65,30.48
3160,0,7.1,5.14,11.81,-88.8,14.1,993.8,-32.51,-0.92,2.4,30.64
3180,0,3.45,0,4.33,-77.4,16.1,1008.5,-40.4,-6.73,1.89,30.03
3200,3.13,0,0,1.91,-92.4,105.1,970.4,-37.9,1.5,-1.6,29.82
3220,2.42,5.69,0,0.92,-128.1,13.7,1008.4,-40.11,7.33,-4.29,29.52
3240,1.41,6.22,2.35,2.31,-38.6,72.1,989.4,-29.78,8.66,-4.69,29.52
3260,0,5.06,1.38,2.59,-55.1,118.8,981.6,-28.04,21.02,-6.98,29.21
3280,0,0,1.99,1.41,-52.5,105.6,957.1,-23.8,14.48,-5.76,29.19
3300,0,0,0,3.66,-20.5,167.0,950.6,-11.5,17.55,-2.0,28.31
3320,0,0,0,0,-7.5,132.0,986.8,-3.98,19.2,-6.5,28.08
3340,74.46,22.63,4.07,0.99,-41.6,184.1,975.0,0.08,25.47,-0.42,28.3
3360,57.28,38.6,8.36,3.16,53.1,115.2,916.8,17.21,16.1,4.28,28.52
3380,43.47,47.15,21.89,0,9.1,84.4,858.2,19.35,16.18,2.51,28.54
3400,24.03,52.88,33.53,4.22,62.8,147.8,894.4,27.91,15.15,6.76,28.71
3420,15.82,56.13,45.74,0,52.8,89.6,854.2,32.9,7.67,7.41,29.53
3440,8.76,49.53,63.2,3.42,223.2,7.2,843.8,41.47,6.56,3.46,29.42
3460,1.21,43.65,74.01,3.85,123.8,55.6,754.7,38.1,3.31,1.82,30.09
3480,3.49,29.99,77.04,7.74,178.7,-71.6,820.1,41.97,-0.67,-1.74,30.32
3500,3.34,19.24,88.09,12.07,7.4,79.9,872.3,36.51,-7.52,-1.95,30.17
3520,0,6.92,84.59,23.7,89.1,-9.5,852.3,34.82,-8.9,-3.67,30.62
3540,0,5.09,73.18,32.41,63.6,-101.2,880.4,29.12,-15.13,-2.41,31.06
3560,0,0,64.07,48.76,97.0,-165.2,902.4,20.44,-18.74,-7.9,30.81
3580,1.6,2.92,43.69,58.61,48.2,-51.2,945.8,14.17,-23.46,-1.06,30.93
3600,3.12,0,36.19,60.09,-4.4,-143.3,949.6,1.78,-12.66,-0.54,30.56
3620,3.63,1.5,22.11,67.39,-91.5,-153.9,953.6,-0.26,-18.8,-0.57,30.76
3640,0.81,1.27,12.73,57.07,-54.2,-145.4,1042.5,-14.91,-20.98,4.37,31.07
3660,2.83,0,6.02,45.74,-28.1,-157.1,1027.0,-20.15,-11.71,2.01,30.81
3680,4.87,0,0,33.75,-49.5,-79.9,962.3,-29.77,-7.85,4.15,30.55
3700,0,0,0,19.87,-48.8,-68.0,1008.8,-36.11,-13.75,3.87,30.6
3720,0.09,0,0.13,10.59,-35.1,-75.6,987.7,-42.01,-11.38,0.78,30.43
3740,4.74,0,0,3.48,-52.1,61.4,978.8,-39.17,-11.41,0.91,30.12
3760,0,0,0,4.65,-155.0,22.6,1000.7,-39.95,1.87,1.2,30.09
3780,3.83,0.05,1.23,4.49,-147.3,-21.2,1034.6,-44.13,6.87,-3.81,29.62
3800,1.09,0,0,1.85,-92.4,83.6,987.0,-31.7,15.84,-5.05,29.47
3820,3.51,4.25,0,3.97,-58.3,124.3,950.2,-28.13,18.22,-5.27,28.99
3840,0,2.54,2.68,0.34,-54.8,205.1,956.0,-19.21,14.74,-3.96,28.97
3860,1.86,1.06,0.65,6.38,-0.7,141.5,1005.4,-14.87,5.52,-2.33,28.37
3880,0,2.41,1.78,0,-44.3,140.1,1001.4,-3.24,19.52,0.98,27.78
3900,75.8,27.75,9.05,2.59,-32.9,193.9,981.3,4.68,32.79,3.66,28.03
3920,64.65,42.28,11.25,5.38,16.4,167.7,920.4,13.38,15.2,0.7,28.32
3940,41.97,46.87,28.82,2.28,53.4,9.1,884.1,19.96,20.39,5.02,28.9
3960,23.54,53.96,38.86,0,104.1,147.6,848.5,25.16,12.98,5.41,29.26
3980,14.35,55.63,48.39,1.9,130.7,-20.0,815.8,30.77,-1.82,0.81,29.46
4000,5.96,48.91,63.28,0,139.8,63.2,782.1,33.38,1.07,-0.75,29.61
4019,0,40.19,74.01,1.63,150.8,6.1,789.8,41.34,-2.27,0.74,29.75
4040,0.77,29.17,81.65,9.87,11.5,77.4,852.6,39.74,-5.28,-4.14,30.12
4059,2.03,20.99,81.98,10.51,129.9,37.2,841.9,35.91,-2.21,-7.87,30.54
4080,3.66,11.39,78.1,19.91,87.0,-109.8,869.2,31.56,-9.6,-3.81,30.47
4100,2.93,5.81,67.45,36.46,37.7,-135.7,891.6,27.19,-15.14,-5.45,31.22
4120,0,4.24,56.8,52.01,-14.3,-74.6,945.7,20.88,-19.04,-5.16,30.82
4140,1.66,3.78,42.83,61.85,-17.8,-185.4,941.6,10.65,-19.05,-3.48,30.85
4160,0,0,26.04,64.99,-24.9,-174.4,979.5,0.95,-24.72,-5.47,30.88
4180,1.74,0.46,15.01,62.39,-119.3,-205.8,1030.6,-2.57,-8.75,4.76,30.81
4200,0.15,0,10.87,52.88,-61.8,-127.4,1046.7,-13.9,-15.36,3.81,30.86
4220,6.27,2.4,10.73,40.16,-70.7,-120.8,1010.5,-22.29,-12.62,4.33,30.93
4240,0,1.72,2.75,32.07,-81.4,-123.4,978.5,-25.68,-17.98,5.01,30.63
4260,7.61,4.77,3.46,19.66,13.1,-32.0,991.6,-32.49,-4.55,3.05,30.47
4280,4.36,2.88,1.38,8.72,-125.1,-47.3,1007.0,-36.73,-8.61,-1.0,30.37
4300,0,0.16,0,6.64,-150.5,50.8,979.2,-43.13,-3.88,0.87,29.9
4320,1.24,1.47,0,3.4,-160.1,6.2,1021.8,-41.92,3.05,0.07,30.04
4340,0,0.32,4.96,0.22,-74.7,216.7,971.9,-35.35,3.56,-0.14,29.33
4360,7.0,1.05,2.12,0,-52.8,119.2,1040.4,-28.15,14.01,-5.45,29.37
4380,0.19,0,0.39,3.25,-63.4,51.0,1018.1,-27.93,18.76,-3.43,28.89
4400,0.99,2.95,0,4.68,43.4,104.6,1019.9,-23.49,22.02,-8.11,28.62
4420,2.31,0,0,0,-87.2,169.6,1004.0,-12.3,17.67,0.42,28.52
4440,1.83,2.11,0.48,0.32,-20.9,134.0,977.2,-2.66,21.35,0.22,27.78
4460,72.82,31.22,7.76,0,-15.4,97.3,946.8,12.69,15.86,2.26,27.83
4480,57.35,44.24,9.81,0.7,135.0,184.0,968.5,18.43,15.09,6.21,28.45
4500,31.92,51.54,28.32,2.86,12.7,55.8,909.7,26.28,14.99,4.26,28.77
4520,21.47,54.41,41.89,3.57,75.2,111.0,862.5,27.18,16.6,7.14,29.06
4540,7.45,57.24,57.39,0,66.2,158.4,829.3,36.64,5.71,4.85,29.52
4560,3.97,46.46,71.03,3.04,45.8,-89.3,789.0,31.7,2.81,4.38,30.25
4580,0,38.71,75.03,1.5,194.3,20.4,767.5,39.9,1.98,-2.29,30.34
4600,0,25.83,85.22,8.86,45.1,-115.4,763.8,36.35,-4.2,-2.24,30.43
4620,5.55,18.91,84.62,16.57,66.1,-53.8,785.6,34.06,-11.65,-4.66,30.71
4640,0,16.88,73.38,17.59,17.0,-125.2,846.1,32.39,-8.17,-1.12,30.52
4660,3.49,4.01,65.56,40.92,131.2,-141.1,848.6,25.24,-20.87,-3.1,30.82
4680,0.16,0,49.89,48.19,1.2,-72.3,948.8,21.89,-7.72,-5.66,31.14
4700,2.1,0.77,39.26,60.27,40.6,-204.8,938.5,12.12,-24.99,-2.64,31.2
4720,0,0,25.77,63.49,-48.4,-92.0,979.0,6.68,-18.73,-3.1,30.91
4740,7.21,7.2,18.07,65.75,0.2,-171.3,981.8,-8.48,-14.36,2.25,31.05
4760,2.94,0.73,11.56,56.88,-24.5,-200.7,991.5,-13.92,-14.24,5.12,30.55
4780,5.96,0,5.8,40.83,-78.1,-153.6,1005.2,-24.37,-19.32,5.75,30.77
4800,0,0,2.7,27.4,-174.2,-52.5,1027.6,-31.47,-9.45,4.12,30.88
4820,0,0.27,0,15.52,-2.6,-147.9,986.2,-40.77,-10.24,4.03,30.6
4840,0,0,0,9.37,-70.7,-9.1,1000.9,-43.37,-7.77,2.56,30.12
4860,0,0,5.16,3.27,-62.6,-9.1,1063.3,-38.11,7.86,0.14,30.07
4880,0,0,0,0,-100.6,61.4,986.4,-37.35,1.26,-2.86,29.84
4900,0.04,0.4,0.29,0.35,-174.7,64.9,993.3,-35.45,6.99,-3.52,29.5
4920,0,0,3.26,0,-86.0,84.1,1051.8,-26.62,14.12,-3.55,29.48
4940,0,0,0,0.09,-60.6,85.3,993.7,-26.89,19.71,-4.12,29.26
4960,1.8,0.16,0,0,-17.2,122.2,1012.1,-15.53,18.2,-5.06,28.56
4980,0.75,0.62,0,0.7,-14.9,139.6,979.5,-9.21,21.05,-0.4,28.43
5000,76.55,19.73,3.76,0.73,-74.6,185.1,1020.4,0.54,14.23,1.29,28.22
5020,69.76,36.85,4.24,0,-97.0,67.0,976.7,6.59,15.73,1.36,28.4
5040,54.35,41.9,18.0,0.5,133.6,139.1,912.2,20.58,18.68,5.29,28.87
5060,39.96,51.03,22.07,0,123.9,148.4,811.8,24.84,16.66,1.01,28.95
5080,20.11,60.57,41.77,0,55.0,111.5,808.8,30.65,21.37,5.41,29.13
5100,10.69,54.82,52.67,0,15.5,15.9,793.2,34.62,-0.71,-0.12,29.73
5120,3.62,48.79,70.73,3.59,114.5,98.0,804.9,42.38,5.66,0.63,29.97
5140,4.16,34.18,76.28,3.48,151.0,21.8,777.8,40.1,-0.17,-1.5,30.01
5160,3.08,16.22,86.78,4.75,82.2,-6.9,765.1,43.22,-4.81,-2.66,30.52
5180,0.01,13.19,85.93,16.48,74.0,-31.4,814.7,37.15,-16.62,-4.42,30.23
5200,0,5.76,78.36,26.16,77.9,-65.0,884.7,31.81,-11.1,-4.79,30.46
5220,0,0,60.85,38.87,124.7,-146.4,902.7,26.24,-14.75,-7.24,30.9
5240,0,0,51.78,52.22,3.6,-76.8,937.4,13.98,-2.59,-3.22,31.16
5260,0.65,5.65,39.15,63.91,-27.1,-168.4,945.9,11.25,-19.37,-4.56,31.28
5280,0,0,17.7,69.37,-27.2,-265.4,1001.2,-0.78,-19.76,-2.03,31.15
5300,0.09,0,15.76,64.08,-36.3,-68.6,990.9,-14.07,-18.5,0.6,30.88
5320,0,0,11.39,54.06,-1.6,-79.3,1018.5,-15.86,-12.73,2.72,30.71
5340,0,2.84,1.12,37.28,-125.8,-140.7,1031.4,-26.36,-11.49,6.74,30.98
5360,0,1.03,2.72,25.71,-103.1,-128.2,1033.7,-35.38,-8.14,3.78,30.66
5380,0.76,3.17,0,15.46,-139.3,-93.2,1024.9,-36.01,-15.64,2.56,30.81
5400,0,3.64,0.29,13.25,-114.6,25.2,952.2,-35.68,-9.16,0.64,30.57
5420,0.56,0.24,0,4.97,-156.4,-51.9,997.4,-37.2,6.71,-5.27,30.31
5440,2.86,0,0,4.65,-60.2,72.7,1016.7,-41.98,2.69,-4.22,30.02
5460,0,0,0.05,0,-66.1,31.7,963.8,-36.52,2.02,-2.95,29.81
5480,0,0.17,0.02,0,-23.0,113.3,941.1,-30.39,15.45,-7.76,29.03
5500,2.68,0,0,0.46,-40.2,62.8,990.7,-23.62,8.6,-5.46,28.73
5520,0,0,2.74,0.9,-6.1,169.8,1031.0,-18.19,12.21,-1.74,28.26
5540,0.21,0,1.79,0.78,-44.5,54.9,992.7,-8.32,21.89,-4.26,28.1
5560,74.85,21.78,0,0,0.4,102.4,956.4,5.08,20.8,1.91,27.94
5580,64.36,37.05,13.8,0.13,13.0,107.4,967.5,13.77,15.92,3.46,28.08
5600,51.18,49.2,17.57,1.83,13.1,150.9,891.2,18.03,23.21,2.98,28.62
5620,32.68,52.36,29.22,0,-43.8,178.7,891.9,25.82,14.19,4.08,29.16
5640,14.8,58.98,41.83,0,32.9,95.4,855.3,37.35,2.39,3.68,29.27
5660,0.49,53.93,58.4,3.78,60.5,52.3,854.1,35.3,-1.58,1.8,29.64
5680,2.31,50.54,73.07,0,32.8,-5.6,816.2,42.82,0.89,0.82,29.96
5700,6.03,32.35,79.5,7.1,99.2,-10.8,794.9,37.92,-8.86,0.53,30.14
5720,0,20.17,86.57,19.36,63.5,-0.5,806.7,44.06,-1.88,-1.95,30.48
5740,1.65,14.6,85.11,17.03,94.2,-42.9,850.6,34.57,-15.9,-4.07,30.63
5760,0,9.53,73.2,31.41,30.7,-76.4,825.1,26.4,-9.35,-3.01,30.66
5780,0,0.88,61.46,42.37,90.7,-119.1,853.6,25.91,-17.22,-2.52,30.79
5800,0,7.5,45.66,52.32,17.7,-160.0,861.3,11.33,-10.73,-4.0,30.92
