timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
1640,81.75,21.25,4.13,0,-15.3,136.2,912.4,1.87,23.67,-2.3,28.25
1660,68.48,33.01,7.54,2.83,-40.4,105.9,997.5,6.88,23.62,3.29,28.4
1680,52.07,45.24,20.26,5.04,67.7,96.7,938.5,15.44,29.82,7.66,29.09
1700,26.7,57.1,33.72,0.82,149.9,84.4,820.5,19.17,6.72,3.05,29.32
1720,17.07,59.36,43.53,3.63,40.8,78.6,837.7,20.93,22.23,2.67,29.73
1740,5.34,52.76,61.83,0,89.7,26.5,827.4,25.22,11.19,0.72,29.75
1760,1.96,49.23,72.23,3.57,96.3,91.5,762.3,26.87,11.2,-0.25,29.92
1780,3.19,30.29,80.2,2.76,115.7,-50.7,833.4,31.4,-2.64,2.24,30.23
1800,0,24.07,87.79,8.67,132.0,-128.4,773.8,29.78,-4.89,-4.15,30.3
1820,0,9.04,87.55,22.34,-51.4,-96.0,828.1,25.63,-10.54,-3.35,30.95
1840,0,8.79,74.74,35.72,45.6,-125.6,868.0,24.42,-17.61,-4.91,30.71
1860,1.52,1.41,62.25,45.83,81.3,-193.6,949.7,16.2,-15.37,-8.89,30.88
1880,5.1,2.16,41.53,57.32,17.6,-143.3,913.5,12.9,-16.36,-1.85,30.96
1900,0,0,33.01,65.92,27.5,-140.3,991.2,3.56,-18.2,-0.56,31.11
1920,0,1.49,15.71,67.55,-37.3,-97.2,927.1,-4.39,-17.43,-0.86,30.88
1940,4.61,0,8.73,60.36,-37.6,-229.9,988.5,-6.04,-22.01,6.32,31.04
1960,0,0,4.55,41.13,-27.3,-131.1,987.5,-17.28,-18.01,8.22,31.04
1980,2.04,0.44,0,30.48,-52.4,-148.1,997.0,-22.25,-20.26,2.69,30.65
2000,3.75,0,0,17.89,-151.3,10.5,1011.7,-23.45,-6.87,7.21,30.41
2020,0,0,4.72,11.15,-87.5,-95.2,954.9,-28.29,-5.15,0.56,30.26
2040,2.11,0.08,0,0,-151.7,1.7,999.6,-28.83,-10.05,1.66,30.65
2060,0,1.69,0,0,-95.7,20.7,983.2,-27.23,-1.54,-2.69,29.88
2080,0,1.02,0,4.64,-101.9,47.1,1009.4,-27.17,-0.69,-4.73,29.62
2100,2.54,1.53,3.95,0,-140.3,115.4,979.6,-26.07,4.23,-6.19,29.0
2120,1.9,2.29,0,1.22,-100.0,61.6,1065.0,-18.03,29.36,-7.07,29.02
2140,4.01,1.74,0,0.46,-125.2,136.1,1007.1,-16.86,15.27,-4.31,28.81
2160,4.09,0,0,0,-68.4,127.4,1004.7,-7.7,20.35,-2.27,28.36
2180,2.36,0.47,0,0.16,-64.5,103.8,1017.0,-6.94,24.1,-1.11,27.85
2200,73.16,25.61,8.39,0,2.7,188.1,951.1,0.03,19.03,1.12,28.35
2220,52.3,44.66,15.92,0,87.7,92.3,936.2,8.35,16.22,0.68,28.95
2240,31.16,47.39,27.38,1.22,0.9,108.7,844.9,22.99,11.73,7.99,28.88
2260,18.98,59.74,36.79,0,29.6,50.4,808.8,19.15,15.02,2.84,29.39
2280,9.58,58.5,58.43,1.14,-18.4,136.0,766.0,23.47,13.42,4.55,29.61
2300,2.86,48.63,70.89,0,4.5,81.9,808.2,33.94,3.75,1.49,29.92
2320,0,37.03,74.81,8.54,41.0,-5.6,799.9,35.97,1.07,-0.03,29.78
2340,0.35,21.72,82.45,8.14,126.3,17.3,848.2,25.96,-6.48,0.88,30.26
2360,1.58,17.55,85.24,22.87,76.0,-27.9,837.8,21.9,-9.08,-5.65,30.37
2380,0,14.18,77.09,22.72,126.7,-109.5,846.8,22.9,-7.59,-8.26,31.06
2400,0,6.56,70.76,46.11,18.1,-82.9,881.1,14.39,-13.97,-5.2,31.2
2420,0,0,49.51,50.77,88.4,-146.6,911.1,12.14,-20.02,-3.61,31.0
2440,1.91,0,34.37,61.22,86.2,-219.1,931.7,2.31,-21.13,-0.27,30.94
2460,3.95,0.66,23.22,62.71,64.7,-157.6,986.7,2.49,-23.21,-0.35,30.95
2480,2.11,0,12.82,60.83,-133.9,-91.8,985.3,-5.85,-20.17,1.42,30.83
2500,2.25,5.56,10.71,46.76,-61.2,-180.6,987.0,-15.56,-11.39,5.79,31.09
2520,0,6.08,0.85,30.92,59.3,-181.0,983.0,-26.13,-13.5,6.06,30.81
2540,0.74,0,0,17.77,-99.7,1.3,968.5,-22.72,-3.8,6.57,30.79
2560,0,0,3.0,15.91,-106.4,-84.2,1001.2,-30.34,-5.49,2.76,30.37
2580,2.05,1.92,0,6.91,-158.6,-42.6,944.9,-27.6,2.76,-0.42,30.48
2600,1.53,0,0.71,1.1,-81.9,35.7,1043.5,-26.56,-7.9,1.53,30.26
2620,0,0,3.25,3.12,-207.6,75.2,1029.9,-29.81,-4.34,-0.34,29.65
2640,0,0.61,0,0,-226.7,35.6,996.0,-27.01,-1.55,-7.94,29.48
2660,0,1.79,0,1.52,-156.4,129.3,1001.2,-20.09,16.78,-5.56,29.04
2680,0,0.64,0.59,0,-43.9,114.0,1046.8,-21.1,16.86,-1.97,28.84
2700,0,0,0,0,-64.2,95.8,1000.6,-9.15,15.89,-5.14,28.39
2720,1.85,0,0,0,42.2,313.1,1022.3,-1.85,18.19,-1.79,28.0
2740,78.11,32.3,9.07,0,155.9,181.9,980.7,1.44,18.51,1.1,28.64
2760,58.86,41.61,14.83,0,50.9,62.2,929.6,12.34,11.71,4.11,28.61
2780,44.74,49.92,23.34,0,48.7,156.3,855.1,20.52,33.1,5.96,29.47
2800,23.96,57.08,37.3,0,42.5,254.9,858.3,25.56,19.26,4.14,29.14
2820,3.16,57.22,51.56,1.79,68.9,155.5,787.5,21.11,11.73,7.5,29.75
2840,4.32,50.27,65.95,3.18,128.0,13.2,885.9,34.11,4.03,3.2,29.66
2860,0,41.57,75.59,3.75,119.2,68.3,849.0,32.8,5.16,0.57,29.62
2880,0,27.29,86.54,13.22,167.6,-19.2,753.2,29.5,-1.63,-1.52,30.05
2900,2.18,12.09,79.56,12.42,133.2,-53.5,820.1,28.24,-8.42,-2.19,30.38
2920,0,9.11,73.22,24.82,92.6,-51.9,851.0,22.06,-16.24,-3.23,30.56
2940,0,2.73,72.09,37.93,95.5,-170.1,889.7,14.81,-10.85,-6.49,31.1
2960,1.15,1.19,50.7,47.47,126.5,-93.8,902.7,17.04,-25.86,-5.49,30.98
2980,0,0,39.85,60.91,18.2,-101.9,977.2,7.26,-18.82,-6.64,31.13
3000,0,1.1,27.96,65.9,68.9,-113.0,967.6,3.99,-23.04,2.78,30.86
3020,0.77,0.57,9.03,69.34,-83.9,-181.2,965.1,-6.72,-20.45,5.17,31.01
3040,0,3.42,13.11,53.75,-12.7,-147.7,993.1,-12.29,-18.53,2.82,31.0
3060,0,0,0.4,38.07,-149.2,-161.4,974.8,-16.43,-18.3,8.54,30.86
3080,0.32,0,0.15,28.68,-87.9,-68.0,998.3,-22.91,-12.66,5.66,30.97
3100,0,2.97,0.53,15.62,-87.1,-98.0,990.9,-24.18,-4.09,5.99,30.53
3120,0.7,1.98,0.64,9.56,-153.4,-16.9,998.0,-24.24,-6.71,1.75,30.62
3140,3.53,0,2.22,7.64,-214.5,-49.0,990.4,-28.22,5.96,-1.32,30.26
3160,0,5.74,0.51,0,-145.2,71.2,966.3,-26.88,13.21,-3.15,29.85
3180,0.33,0.07,0,0,-27.1,66.8,996.3,-23.36,11.71,-4.35,29.2
3200,0,4.65,0,2.48,-97.6,204.4,996.0,-22.19,16.08,-6.49,29.48
3220,0,0,1.82,3.31,54.2,94.9,1026.3,-12.14,15.16,-8.61,28.9
3240,2.44,0,0,0,13.9,177.6,1011.6,-11.17,19.55,-2.87,28.54
3260,0,1.13,0.57,1.22,62.7,163.6,986.0,-3.24,18.36,0.36,28.32
3280,75.63,26.98,12.2,0.38,-9.1,142.6,967.4,-0.93,19.2,-0.09,28.46
3300,68.43,39.26,5.89,1.61,95.6,176.8,984.9,10.44,22.23,5.45,28.36
3320,42.64,47.11,22.82,3.18,39.2,42.9,898.1,15.85,11.45,2.22,28.86
3340,21.88,53.29,39.08,0,25.6,68.4,873.0,20.15,8.92,4.65,28.76
3360,12.43,57.7,54.16,0,49.6,-12.4,750.9,21.74,2.07,7.13,29.43
3380,4.57,52.2,62.08,0,73.4,31.5,865.2,31.07,1.75,2.94,29.78
3400,0,38.56,74.7,3.16,118.3,-31.5,803.4,30.15,5.19,0.59,29.95
3420,3.49,32.61,82.84,0.81,113.9,2.0,840.8,31.94,-6.05,-4.48,30.31
3440,0.77,21.73,85.88,17.12,62.2,-118.5,807.9,25.5,3.41,-3.62,30.48
3460,3.71,15.07,82.44,23.08,72.4,-129.5,860.4,21.71,-9.8,-5.32,30.76
3480,2.64,1.78,68.9,31.42,71.7,-37.7,848.7,23.15,-16.79,-8.34,30.87
3500,0.51,2.26,57.96,51.65,43.3,-202.0,907.5,22.03,-20.77,-7.01,30.83
3520,0,6.84,36.5,61.56,61.5,-59.6,987.7,5.17,-13.8,-3.37,30.72
3540,0,0,30.34,63.4,-85.7,-143.1,999.7,4.34,-11.38,-4.78,30.83
3560,3.83,0.94,18.08,62.63,-106.6,-101.3,914.9,-7.67,-22.6,-0.65,30.83
3580,0.71,0,11.22,62.99,-2.0,-93.4,1040.2,-15.04,-20.33,0.72,30.98
3600,1.84,1.5,1.81,48.32,-109.0,-46.9,989.2,-19.52,-12.85,4.08,30.8
3620,5.2,2.79,1.48,27.12,-78.5,-134.3,978.5,-20.5,-12.54,4.67,30.4
3640,0,0,3.28,22.52,-166.3,-46.4,1009.9,-28.1,-13.28,2.27,30.69
3660,0,1.45,0,12.47,-64.6,-54.9,1040.0,-26.94,-7.57,3.61,30.33
3680,0,3.5,2.9,5.19,-141.0,-29.4,993.3,-27.08,5.98,0.66,30.07
3700,0,0,0,6.11,-116.9,-74.8,1002.1,-28.23,5.06,-1.99,30.19
3720,2.91,0,1.58,3.84,-149.4,67.2,1008.1,-22.79,11.29,-4.66,29.57
3740,2.99,0,4.02,1.79,-141.1,174.6,999.7,-29.62,13.85,-0.69,29.34
3760,0,1.96,1.59,0,-111.8,131.1,982.3,-26.97,13.79,-7.67,28.96
3780,0.3,2.9,4.05,0,-57.3,197.2,973.2,-16.11,13.55,-5.64,28.6
3800,3.72,1.31,3.22,0,-19.9,65.7,950.4,-8.07,21.02,1.49,28.82
3820,79.86,18.85,0.14,0,42.3,227.6,967.5,3.57,18.43,-0.02,28.15
3840,73.58,31.28,7.0,0,18.4,148.1,975.0,10.26,19.1,2.14,28.71
3860,49.36,46.64,18.96,0,175.0,113.9,906.5,14.72,11.23,5.91,28.72
3880,30.89,56.08,27.11,0,11.8,59.5,832.6,18.92,16.98,5.67,29.18
3900,15.48,50.31,43.11,2.67,56.4,79.1,880.7,28.83,13.46,4.55,29.27
3920,9.12,57.84,58.72,2.76,176.7,27.0,767.2,27.11,11.75,0.51,29.62
3940,10.59,40.36,68.8,3.01,53.3,7.9,787.3,35.02,7.24,2.89,30.11
3960,3.52,37.99,83.78,5.13,160.9,31.7,817.2,30.33,8.01,0.62,30.54
3980,0.93,25.49,87.43,10.82,107.6,-64.7,718.7,25.21,-5.04,-3.95,30.3
4000,2.0,9.48,79.97,18.67,140.6,-1.8,811.9,24.22,-7.82,-6.2,30.77
4019,1.57,4.88,74.14,32.62,72.4,-139.6,825.4,21.65,-14.76,-4.55,30.64
4040,4.76,0,59.93,48.23,30.9,-172.7,928.0,17.08,-17.83,-5.62,31.06
4059,4.1,0,48.24,59.24,31.7,-191.1,902.0,14.08,-20.35,-3.83,31.07
4080,0,3.09,31.33,74.69,-61.1,-122.0,954.2,3.47,-8.09,-3.5,30.81
4100,0,1.37,18.07,67.78,-37.0,-116.9,1019.7,-3.7,-22.11,1.99,31.18
4120,5.74,0,15.33,58.11,65.8,-234.5,1004.9,-4.98,-18.48,0.73,30.86
4140,0,7.91,4.68,49.87,-128.5,-57.5,1001.0,-13.06,-10.85,9.13,30.6
4160,0.3,0.03,0.88,30.15,-82.3,49.4,1009.5,-25.04,-14.03,2.96,30.66
4180,0.26,0,3.56,20.69,-95.4,-62.7,1036.3,-26.2,-9.99,-0.23,30.7
4200,2.94,0,2.08,10.5,-135.2,-91.9,1018.8,-25.2,-4.46,4.09,30.34
4220,0,3.47,0,6.68,-173.6,18.6,986.9,-28.99,-0.43,2.6,30.36
4240,0,0,1.06,2.95,-77.8,-102.4,1071.2,-32.41,1.34,-2.74,29.72
4260,4.2,1.57,0,4.42,-119.2,32.9,968.5,-27.39,11.23,-0.22,29.89
4280,1.56,3.63,0,0.75,-87.1,63.5,990.2,-23.2,5.13,-4.59,29.44
4300,2.08,6.96,0,0,-89.2,72.3,1008.5,-18.09,12.9,-7.21,28.78
4320,2.97,1.61,4.53,1.73,-133.1,43.9,981.2,-16.28,18.65,-6.86,29.1
4340,3.85,0,0,0,-41.2,106.9,989.7,-10.31,17.04,-2.55,28.25
4360,1.13,9.83,2.94,2.23,-35.1,150.7,1023.2,-3.01,14.86,-0.24,27.81
4380,79.84,31.57,4.33,1.07,92.4,127.9,964.8,3.74,15.42,-1.08,28.59
4400,55.37,38.56,13.45,0,130.7,201.5,905.2,16.73,9.24,0.63,28.8
4420,38.66,56.57,26.23,0,35.8,153.0,868.7,17.12,17.07,-0.61,28.64
4440,17.38,58.07,33.64,1.3,74.1,28.1,820.7,21.31,29.39,4.76,29.53
4460,10.65,55.66,54.53,0,135.8,92.7,856.4,20.49,3.92,4.25,29.44
4480,2.38,49.54,67.16,3.56,189.7,32.1,794.5,24.39,1.73,3.95,29.83
4500,0,37.92,82.02,0,78.3,94.6,813.1,29.75,0.72,0.46,29.97
4520,0,21.24,90.64,13.09,118.7,-128.0,753.4,30.59,2.45,-1.96,30.12
4540,4.97,13.5,87.23,19.07,170.3,-16.3,802.8,27.87,-11.17,-4.97,30.36
4560,1.41,5.73,74.11,27.26,34.5,-131.1,832.4,22.05,-23.82,-4.93,30.5
4580,0,0.27,63.88,42.84,44.1,-28.3,922.6,16.25,-12.66,-4.31,30.84
4600,0,5.46,45.74,52.41,54.1,-71.6,912.9,11.12,-26.81,-3.39,30.84
4620,0,1.99,31.51,69.03,51.9,-133.6,940.6,6.65,-23.29,-1.44,30.83
4640,0.77,1.06,29.72,67.12,34.5,-131.9,1005.5,-1.82,-17.76,1.42,30.84
4660,0,0,13.96,61.58,-1.0,-135.3,984.7,-11.75,-17.9,4.61,30.79
4680,0,0.2,10.51,51.74,-51.6,-97.2,1011.7,-19.9,-10.9,6.22,31.08
4700,0,0.83,5.91,32.31,-57.9,-181.5,964.3,-16.78,-17.08,5.16,31.04
4720,0,0.6,1.44,26.81,-50.9,-140.3,1009.7,-21.92,-11.23,3.26,30.57
4740,0,0,0,13.33,-117.8,-72.2,1007.3,-28.78,-7.64,4.45,30.4
4760,0,0,0,7.41,-97.5,-13.9,989.4,-30.12,7.87,2.39,30.2
4780,6.96,3.62,0,5.71,-48.7,39.5,1009.8,-30.51,2.74,2.83,30.05
4800,2.7,0.81,0.65,4.08,-112.4,43.0,975.0,-32.55,15.58,-1.88,29.33
4820,0,1.29,2.04,0,-40.3,114.3,1015.8,-26.6,18.6,-3.31,29.73
4840,0,0,2.31,0,-3.1,125.5,1005.8,-21.42,15.36,-4.08,29.13
4860,0.57,3.49,2.83,0,-34.0,163.8,949.7,-14.8,14.21,-1.7,29.09
4880,0,2.57,0,0.17,-16.9,112.3,1007.1,-12.15,13.08,-0.38,28.49
4900,0,4.31,3.59,3.95,33.2,119.7,996.3,-5.44,25.81,-2.55,28.1
4920,75.8,26.76,10.07,0,-59.6,190.3,986.4,-0.09,28.96,4.13,28.07
4940,62.37,40.74,10.09,0.99,-47.7,55.2,921.7,13.97,18.45,5.56,28.01
4960,44.51,49.3,20.44,0,11.9,235.4,908.4,11.2,15.69,4.68,28.9
4980,16.58,53.88,32.56,5.25,70.8,88.2,888.1,23.33,12.95,5.67,29.14
5000,11.23,57.13,51.54,5.93,91.9,94.3,868.7,28.72,10.61,3.83,29.9
5020,0,51.22,65.65,1.56,51.0,65.1,813.4,25.84,3.06,0.14,30.16
5040,0,37.3,76.57,4.71,144.2,-24.1,808.4,27.2,1.42,0.22,29.74
5060,3.72,28.17,82.12,6.68,124.2,-19.5,800.2,28.25,1.35,-2.98,30.2
5080,1.73,21.2,83.13,11.88,108.0,-105.3,853.5,24.5,-17.22,-1.35,30.53
5100,0,10.75,79.91,26.34,101.7,-11.0,824.6,25.72,-6.7,-5.95,30.68
5120,0,1.53,67.82,34.88,49.7,-202.8,864.9,19.14,-11.77,-3.97,30.64
5140,2.55,5.6,55.94,52.86,57.5,-38.9,948.9,18.24,-13.03,-4.29,30.49
5160,0,4.53,32.6,63.88,-60.5,-202.1,972.4,5.65,-16.45,-3.1,30.87
5180,0,0,27.82,64.36,-45.1,-205.0,1027.6,3.1,-9.95,-2.66,30.64
5200,0.78,0,17.4,68.07,-28.7,-252.4,1015.9,-3.45,-21.19,2.98,31.26
5220,0.03,0,12.12,53.11,-25.0,-125.5,987.6,-13.24,-17.28,2.57,31.13
5240,0,6.96,0,40.67,-86.7,-30.3,1002.0,-21.66,-10.1,6.62,30.86
5260,0,0,7.67,23.9,-82.9,-65.7,925.1,-19.54,-11.62,2.9,30.48
5280,0,0,2.02,15.44,-205.7,-46.3,972.0,-24.04,-4.56,2.57,30.7
5300,0,2.51,0,11.28,-166.8,-36.7,950.2,-27.23,1.26,4.25,30.14
5320,1.63,2.53,0.4,7.96,-83.2,49.4,965.9,-31.46,3.25,-0.53,30.34
5340,0,0,0,4.26,-158.0,-15.0,979.0,-29.53,7.55,-3.77,29.63
5360,0,0,0,5.75,-88.4,-7.5,923.5,-26.97,17.42,-5.13,29.4
5380,0.87,0,3.99,6.4,-102.3,193.8,982.2,-28.62,16.41,-1.36,29.26
5400,1.72,0,2.03,0.2,-46.7,46.4,960.9,-18.14,8.61,-10.28,28.93
5420,0.72,0,2.6,0,-77.1,238.8,965.7,-15.99,21.73,-5.3,28.7
5440,5.21,7.42,0,0,38.5,73.7,956.0,-6.17,22.15,-2.34,28.34
5460,78.26,23.59,2.98,0,-63.8,126.8,996.9,-0.47,19.41,-0.47,28.06
5480,63.6,29.39,8.23,1.32,83.9,194.1,977.8,11.34,13.94,3.31,28.68
5500,44.17,54.16,14.14,4.28,-17.0,145.7,940.3,13.04,10.47,9.36,28.37
5520,27.83,61.38,30.32,0,63.6,120.3,874.0,25.79,25.05,4.46,29.01
5540,12.28,54.96,44.06,5.99,48.0,116.8,868.6,23.79,3.11,8.03,29.53
5560,4.42,56.19,60.09,0,86.5,24.3,825.2,30.93,12.01,3.06,29.65
5580,3.46,39.56,70.76,2.18,86.0,20.5,804.6,25.29,13.34,-0.8,30.31
5600,4.29,37.24,87.43,4.9,21.7,-7.3,804.1,30.56,0.2,-0.28,30.21
5620,0,16.44,76.62,4.04,43.5,-29.4,742.3,22.53,-6.84,-3.97,30.39
5640,1.21,9.51,81.24,21.29,28.4,-141.1,839.3,27.21,-5.19,-5.29,30.24
5660,0.45,8.57,71.58,35.43,-75.8,-39.6,849.5,18.68,-17.67,-3.16,30.83
5680,2.91,1.54,53.79,46.27,68.0,-118.1,894.6,13.42,-15.07,-4.06,30.8
5700,2.28,3.38,41.26,59.22,51.5,-91.7,916.8,10.66,-12.24,-1.45,31.15
5720,5.21,0.13,28.18,65.49,33.0,-149.2,1005.9,11.74,-24.13,-1.44,30.8
5740,0,2.51,18.55,62.69,81.5,-105.4,987.4,-5.7,-19.47,4.58,30.84
5760,1.72,0,13.37,54.8,7.4,-202.9,964.6,-11.13,-17.05,0.2,30.59
5780,3.34,2.15,3.81,42.89,-91.6,-264.6,981.2,-17.24,-8.04,7.51,30.32
